G1,G4,G8,G2,G6,G9,G5,G3,G7
62,37,499,60,29,701,22,39,46
64,42,505,64,39,735,30,52,52
47,31,545,54,20,733,21,50,56
62,34,481,50,43,716,31,42,56
50,31,529,62,29,631,11,43,49
56,46,476,56,27,655,15,49,49
80,28,485,62,29,759,27,48,49
53,33,499,51,22,602,20,55,43
55,44,458,46,30,752,21,47,67
41,49,497,57,27,726,20,58,57
45,42,495,62,45,616,23,62,53
48,23,536,62,32,734,29,55,56
44,30,531,52,17,700,26,52,47
60,43,548,44,28,720,29,51,41
61,45,468,63,29,771,26,52,48
50,30,497,59,35,616,14,50,45
39,39,480,69,30,683,29,40,46
58,37,501,55,22,742,21,64,37
66,23,489,58,27,754,20,50,39
43,41,503,48,36,682,23,47,58
65,23,561,63,21,826,21,44,35
42,57,521,69,26,713,19,54,53
65,35,482,49,23,852,23,38,52
45,48,455,50,33,871,21,46,40
45,41,475,59,35,859,22,55,48
50,43,501,62,45,659,23,53,46
54,32,457,45,31,825,19,43,53
56,27,552,58,29,594,26,45,44
60,29,515,59,23,831,31,49,54
55,36,498,53,39,712,29,47,49
42,24,483,46,34,841,29,57,47
60,53,469,46,29,717,17,55,39
54,29,540,51,15,729,29,57,44
58,52,481,39,28,718,15,47,51
49,45,515,55,30,751,24,33,61
41,21,538,30,15,754,19,55,45
52,34,529,40,15,679,24,49,51
58,38,513,43,35,765,25,38,57
45,28,548,40,25,735,30,30,39
33,43,515,64,16,713,33,47,44
54,51,453,67,34,722,24,43,46
58,32,528,46,27,575,22,48,39
52,30,501,59,23,767,32,59,43
57,29,515,36,26,754,21,50,37
40,37,465,45,31,697,38,53,56
48,38,555,57,14,719,18,42,56
37,43,513,53,36,710,23,44,47
66,50,540,45,31,679,28,34,46
48,42,511,56,36,863,30,39,46
59,44,525,69,32,726,16,51,52
46,41,463,56,40,609,29,40,56
40,34,477,50,43,585,22,59,58
49,47,465,46,27,822,26,59,51
40,24,467,51,25,714,27,46,60
44,24,516,55,28,715,11,45,51
46,52,471,61,37,704,16,44,44
54,54,467,47,39,727,15,65,33
